"VMName","Status","Message"
"HOU-P-MGTAP-03","Already Tagged","VM already has tag 'us_gms_plan_vm_30d_prd'"
"HOU-P-RDSAPG-2","Tagged","Tag 'us_gms_plan_vm_30d_prd' applied successfully"
"HOU-P-RDSAPG-1","Already Tagged","VM already has tag 'us_gms_plan_vm_30d_prd'"
"HOU-P-VCG-001","Tagged","Tag 'us_gms_plan_vm_30d_prd' applied successfully"
"HOU-P-CVTAPG-001","Already Tagged","VM already has tag 'us_gms_plan_vm_30d_prd'"
"HOU-P-ADCAPG-1","Tagged","Tag 'us_gms_plan_vm_30d_prd' applied successfully"
"HOU-P-ADCAPG-2","Tagged","Tag 'us_gms_plan_vm_30d_prd' applied successfully"
"HOU-P-GMSAP-03","Tagged","Tag 'us_gms_plan_vm_30d_prd' applied successfully"
"HOU-P-GMSDB-02","Tagged","Tag 'us_gms_plan_vm_30d_prd' applied successfully"
"HOU-P-INTAP-01","Tagged","Tag 'us_gms_plan_vm_30d_prd' applied successfully"
"HOU-P-PCUAP-03","Tagged","Tag 'us_gms_plan_vm_30d_prd' applied successfully"
"HOU-P-ICCAP-04","Tagged","Tag 'us_gms_plan_vm_30d_prd' applied successfully"
"HOU-P-GMSAP-02","Tagged","Tag 'us_gms_plan_vm_30d_prd' applied successfully"
"HOU-P-ICCAP-02","Tagged","Tag 'us_gms_plan_vm_30d_prd' applied successfully"
"HOU-P-ICCAP-01","Tagged","Tag 'us_gms_plan_vm_30d_prd' applied successfully"
"HOU-P-GMSDB-01","Tagged","Tag 'us_gms_plan_vm_30d_prd' applied successfully"
"HOU-P-PCUAP-02","Tagged","Tag 'us_gms_plan_vm_30d_prd' applied successfully"
"HOU-P-PCUAP-04","Tagged","Tag 'us_gms_plan_vm_30d_prd' applied successfully"
"HOU-P-PSEAP-04","Tagged","Tag 'us_gms_plan_vm_30d_prd' applied successfully"
"HOU-P-INTAP-02","Tagged","Tag 'us_gms_plan_vm_30d_prd' applied successfully"
"HOU-P-PCUAP-01","Tagged","Tag 'us_gms_plan_vm_30d_prd' applied successfully"
"HOU-P-PSEAP-01","Tagged","Tag 'us_gms_plan_vm_30d_prd' applied successfully"
"HOU-P-PSEAP-03","Tagged","Tag 'us_gms_plan_vm_30d_prd' applied successfully"
"HOU-P-MGTAP-02","Tagged","Tag 'us_gms_plan_vm_30d_prd' applied successfully"
"HOU-P-MGTAP-01","Already Tagged","VM already has tag 'us_gms_plan_vm_30d_prd'"
"HOU-P-GMSAP-01","Tagged","Tag 'us_gms_plan_vm_30d_prd' applied successfully"
"HOU-P-PSEAP-02","Tagged","Tag 'us_gms_plan_vm_30d_prd' applied successfully"
"HOU-P-ICCAP-03","Tagged","Tag 'us_gms_plan_vm_30d_prd' applied successfully"
"HOU-P-GMSAP-04","Tagged","Tag 'us_gms_plan_vm_30d_prd' applied successfully"
